Date,Issuer,Bloomberg Code,Currency,Volume (m),FX rate,USD equivalent,Coupon,Coupon Type,Maturity,Re-Offer,IPT/IPG,Spread,Yield,First Call Date,Moody's,S&P,Fitch,Ranking,Subordinated,Covered,Increase?,Format,NIP,Region,Country,Sector,Category,Bookrunners,Passive Leads,LT eligible?,Stats,Web Articles,Bberg Articles on EMRJ/IGRC,Add. Info,Tier,Green,Sustainable,Sustainability-Linked,Social,Senior Non-Preferred,Senior Preferred,COC,MWC,CUC,HoldCo,OpCo,Deal ID,LEAD1,LEAD2,LEAD3,LEAD4,LEAD5,LEAD6,LEAD7,LEAD8,LEAD9,LEAD10,LEAD11,LEAD12,LEAD13
15-May-23,BANK FUR TIROL,ZK6046625 CORP,EUR,250,1.08734,271.19,3.375,Fixed,21-May-27,99.761,MS+40/42,MS+40,3.440%,,NR,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,AUSTRIA,Financial,Banking,"LBBW, DZ, ERST, RBINT",,Yes,"Geography: Austria 54.00%, Germany 33.00%, Nordics 6.00%, Italy 4.00%, UK 2.00%, France 1.00%.
Investor Type: Banks 64.00%, Asset Managers/Fund Managers 29.00%, Insurers/Pension Funds 7.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13710639,LBBW,DZ BANK,ERSTE BANK,RAIFFEISEN BANK INTERNATIONAL,,,,,,,,,
11-May-23,SPAREBANK 1 BOLIGKREDITT,ZK5906753 CORP,EUR,750,1.09118,813.92,3,Fixed,19-May-30,99.454,MS+30a,MS+25,3.088%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,NORWAY,Financial,Banking,"DB, ING, DEKA, NOR",,Yes,,,No,MC,,Yes,No,No,No,No,No,No,No,No,No,No,13710197,DEUTSCHE BANK,ING,DEKA,NORDEA,,,,,,,,,
11-May-23,WUESTENROT BAUSPARKASSE,ZK5825896 CORP,EUR,250,1.09118,272.37,3.25,Fixed,19-May-27,99.845,MS+35a,MS+32,3.292%,,NR,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"UNICR, DZ, ERST, HEL",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13710144,UNICREDIT,DZ BANK,ERSTE BANK,HELABA,,,,,,,,,
11-May-23,DANSKE BANK,ZK6007478 CORP,EUR,500,1.09118,545.43,3.125,Fixed,12-Jan-27,99.97,MS+12a,MS+12,3.137%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,DENMARK,Financial,Banking,"ABN, BNP, UNICR, NAT, DAN",,Yes,"Geography: Germany/Austria 53.00%, Switzerland 22.00%, Benelux 13.00%, Nordics 6.00%, France 5.00%, Others 1.00%.
Investor Type: Banks 41.00%, Central Banks/Official Institutions 41.00%, Asset Managers 17.00%, Insurers/Pension Funds 1.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13710143,ABN AMRO,BNP PARIBAS,UNICREDIT,NATIXIS,DANSKE BANK,,,,,,,,
10-May-23,DEUTSCHE BK AG,ZK5600430 CORP,EUR,500,1.09837,548.3,3.125,Fixed,19-Oct-26,99.839,MS+10a,MS+5,3.179%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"BAR, DB, UBS, UNICR, IMI, NATWES, SCOTIA, LLOYDS",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13700416,BARCLAYS,DEUTSCHE BANK,UBS,UNICREDIT,IMI- INTESA SANPAOLO,NATWEST MARKETS,SCOTIABANK,LLOYDS BANK,,,,,
10-May-23,DEUTSCHE BK AG,ZK5600455 CORP,EUR,500,1.09837,546.26,3.125,Fixed,19-May-33,99.468,MS+26a,MS+20,3.188%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"BAR, DB, UBS, UNICR, IMI, NATWES, SCOTIA, LLOYDS",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13700417,BARCLAYS,DEUTSCHE BANK,UBS,UNICREDIT,IMI- INTESA SANPAOLO,NATWEST MARKETS,SCOTIABANK,LLOYDS BANK,,,,,
10-May-23,SEB AB,ZK5792013 CORP,EUR,1750,1.09837,1918.05,3.25,Fixed,4-Nov-25,99.787,MS+8a,MS+5,3.347%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,SWEDEN,Financial,Banking,"HSBC, SG, CMZB, NATWES, SAN, SEB AB",,Yes,"Geography: Austria/Germany 52.00%, Nordics 26.00%, Switzerland 7.00%, Asia 5.00%, France 4.00%, Southern Europe 4.00%, Others 2.00%.
Investor Type: Banks/Private Banks 68.00%, Funds/Insurers 22.00%, Official Institutions 10.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13700407,HSBC,SOCIETE GENERALE,COMMERZBANK,NATWEST MARKETS,SANTANDER,SEB AB,,,,,,,
10-May-23,SPARKASSE HANNOVER,ZK5611791 CORP,EUR,250,1.09837,274.37,3.125,Fixed,17-May-30,99.919,MS+18a,MS+18,3.138%,,NR,NR,AAA,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"NDLB, ERST, HEL",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13700395,NORDDEUTSCHE LB,ERSTE BANK,HELABA,,,,,,,,,,
9-May-23,CFF,ZK5581614 CORP,EUR,1000,1.09643,1090.3,3.125,Fixed,17-May-29,99.441,MS+28a,MS+27,3.229%,,Aaa,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,FRANCE,Financial,Banking,"BAR, DB, LBBW, DZ, NAT, SCOTIA, NYKRED",,Yes,"Geography: Germany/Austria 43.00%, France 18.00%, Southern Europe 11.00%, Nordics 10.00%, Switzerland 9.00%, Asia/Middle East 4.00%, UK/Ireland 4.00%, Eastern Europe 1.00%.
Investor Type: Banks/Private Banks 57.00%, Asset Managers 19.00%, Central Banks/Official Institutions 12.00%, Insurers/Pension Funds 11.00%, Others 1.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13700272,BARCLAYS,DEUTSCHE BANK,LBBW,DZ BANK,NATIXIS,SCOTIABANK,NYKREDIT,,,,,,
9-May-23,HYPO VORALBERG BANK,ZK5329378 CORP,EUR,500,1.09643,547.89,3.25,Fixed,16-Feb-28,99.94,MS+31a,MS+27,3.266%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,AUSTRIA,Financial,Banking,"BAR, BAYERN, LBBW, ERST, RBINT",,Yes,"Geography: Germany/Austria 79.00%, UK/Ireland 7.00%, Southern Europe 6.00%, Nordics 3.00%, Switzerland 2.00%, France 2.00%, CEE 1.00%.
Investor Type: Banks 56.00%, Funds/Asset Managers 33.00%, Insurers/Pension Funds 7.00%, Central Banks/Official Institutions 4.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13700241,BARCLAYS,BAYERNLB,LBBW,ERSTE BANK,RAIFFEISEN BANK INTERNATIONAL,,,,,,,,
9-May-23,HAMB SPARKASSE,ZK5337561 CORP,EUR,500,1.09643,547.05,3,Fixed,15-Sep-28,99.787,MS+10a,MS +7,3.046%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"CMZB, LBBW, DEKA, DZ, HAM SP",,Yes,"Geography: Germany 76.20%, CEE 10.00%, Austria 4.80%, Nordics 4.30%, Switzerland 3.90%, UK/Ireland 0.80%.
Investor Type: Banks 47.40%, Central Banks/Official Institutions 18.40%, Funds 17.10%, Corporates 9.00%, Pension Funds/Insurers 8.10%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13700222,COMMERZBANK,LBBW,DEKA,DZ BANK,HAMBURGER SPARKASSE,,,,,,,,
9-May-23,UNICREDIT BANK AG,ZK5336290 CORP,EUR,750,1.09643,819.3,3,Fixed,17-May-27,99.633,MS+7a,MS+7,3.099%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"SG, UNICR, TD, NDLB, DZ",,Yes,"Geography: Germany 78.00%, UK/Ireland 7.90%, France 4.80%, Italy 4.00%, Nordics 2.90%, Others 2.40%.
Investor Type: Banks 82.00%, Funds 14.50%, Insurers 2.20%, Central Banks 1.30%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13700203,SOCIETE GENERALE,UNICREDIT,TORONTO DOMINION,NORDDEUTSCHE LB,DZ BANK,,,,,,,,
3-May-23,SPARKASSE PFORZHEIM CALW,ZK4658090 CORP,EUR,500,1.10686,551.9,3,Fixed,11-May-29,99.724,MS+14a,MS+11,3.051%,,NR,NR,AAA,IG,No,Yes,No,RegS only,,Western Europe,FRANCE,Financial,Banking,"CMZB, DEKA, HEL",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13670204,COMMERZBANK,DEKA,HELABA,,,,,,,,,,
26-Apr-23,BAWAG P.S.K.,ZK3721824 CORP,EUR,750,1.1045,826.44,3.375,Fixed,4-May-26,99.767,MS+20a,MS+16,3.458%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,AUSTRIA,Financial,Banking,"C, BAYERN, CMZB, DEKA, IMI, ERST",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13642730,CITIGROUP,BAYERNLB,COMMERZBANK,DEKA,IMI- INTESA SANPAOLO,ERSTE BANK,,,,,,,
26-Apr-23,LF HYPOTEK,ZK3909387 CORP,EUR,500,1.1045,550.97,3.25,Fixed,4-May-29,99.769,MS+26a,MS+22,3.293%,,Aaa,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,SWEDEN,Financial,Banking,"SG, TD, LBBW, DEKA, NOR",,Yes,"Geography: Germany/Austria/Switzerland 38.00%, Nordics 37.00%, Benelux 20.00%, UK/Ireland 4.00%, France 1.00%.
Investor Type: Banks/Private Banks 83.00%, Fund Managers 9.00%, Official Institutions/Central Banks 8.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13642689,SOCIETE GENERALE,TORONTO DOMINION,LBBW,DEKA,NORDEA,,,,,,,,
25-Apr-23,SCBC,ZK3692538 CORP,EUR,1000,1.09794,1092.76,3.25,Fixed,3-May-28,99.528,MS+22a,MS+18,3.354%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,SWEDEN,Financial,Banking,"BNP, C, HSBC, DEKA, DAN",,Yes,"Geography: DACH 47.00%, Nordics 20.00%, Benelux 18.00%, France 12.00%, UK/Ireland 2.00%, Others 1.00%.
Investor Type: Banks/Private Banks 73.00%, Central Banks/Official Institutions 15.00%, Fund Managers 8.00%, Insurers/Pension Funds 4.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13642507,BNP PARIBAS,CITIGROUP,HSBC,DEKA,DANSKE BANK,,,,,,,,
24-Apr-23,LBBW,ZK3485636 CORP,EUR,750,1.10577,827.22,3.25,Fixed,4-Nov-26,99.746,MS-1a,MS-4,3.332%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"BBVA, ING, UNICR, LBBW, RBC, NAT",,Yes,,,No,PC,,No,No,No,No,No,No,No,No,No,No,No,13642256,BBVA,ING,UNICREDIT,LBBW,RBC,NATIXIS,,,,,,,
19-Apr-23,POP MORTGAGE BANK,ZK1921822 CORP,EUR,250,1.09518,273.41,3.625,Fixed,26-Apr-28,99.861,MS+43a,MS+43,3.656%,,NR,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,FINLAND,Financial,Banking,"LBBW, NOR, SWBK",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13641727,LBBW,NORDEA,SWEDBANK,,,,,,,,,,
18-Apr-23,NBC,ZK2660148 CORP,EUR,1000,1.09756,1096.62,3.5,Fixed,25-Apr-28,99.914,MS+40a,MS+35,3.519%,,Aaa,NR,AAA,IG,No,Yes,No,RegS only,,North America,CANADA,Financial,Banking,"BNP, HSBC, LBBW, RBC, NBC",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13641537,BNP PARIBAS,HSBC,LBBW,RBC,NATIONAL BANK OF CANADA,,,,,,,,
14-Apr-23,CREDIT MUTUEL HOME LOAN SFH,ZK2156444 CORP,EUR,1000,1.11037,1106.79,3.25,Fixed,20-Apr-29,99.678,MS+28a,MS+26,3.310%,,Aaa,AAA,AAA,IG,No,Yes,No,RegS only,,Western Europe,FRANCE,Financial,Banking,"BAR, UBS, SG, CMZB",,Yes,"Geography: DACH 29.00%, Benelux 20.00%, France 17.00%, UK/Ireland 13.00%, Italy 11.00%, Nordics 9.00%, Others 1.00%.
Investor Type: Banks/Private Banks 55.00%, Asset Managers 22.00%, Central Banks/Official Institutions 21.00%, Others 2.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13640875,BARCLAYS,UBS,SOCIETE GENERALE,COMMERZBANK,,,,,,,,,
13-Apr-23,OP BANK,ZK1829082 CORP,EUR,1000,1.10513,1100.43,3.125,Fixed,20-Oct-28,99.575,MS+18a,MS+16,3.213%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,FINLAND,Financial,Banking,"HSBC, SG, NDLB, HEL, OP BAN",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13640745,HSBC,SOCIETE GENERALE,NORDDEUTSCHE LB,HELABA,OP BANK,,,,,,,,
13-Apr-23,COMMERZBANK,ZK1681178 CORP,EUR,1250,1.10513,1380.89,3.125,Fixed,20-Apr-29,99.962,MS+13a,MS+10,3.132%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"ABN, BBVA, CMZB, LBBW, NATWES, SCOTIA",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13640744,ABN AMRO,BBVA,COMMERZBANK,LBBW,NATWEST MARKETS,SCOTIABANK,,,,,,,
13-Apr-23,RLB NOE WIEN,ZK1693074 CORP,EUR,500,1.10513,552.53,3.375,Fixed,24-Jul-28,99.994,MS+33a,MS+33,3.389%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,AUSTRIA,Financial,Banking,"ABN, C, CA, LBBW, DZ, RBINT",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13640736,ABN AMRO,CITIGROUP,CREDIT AGRICOLE,LBBW,DZ BANK,RAIFFEISEN BANK INTERNATIONAL,,,,,,,
12-Apr-23,SANTANDER TOTTA,ZK1436375 CORP,EUR,750,1.0997,820.82,3.375,Fixed,19-Apr-28,99.521,MS+45a,MS+43,3.481%,,Aa2,AA-,NR,IG,No,Yes,No,RegS only,,Western Europe,PORTUGAL,Financial,Banking,"BAR, SG, UNICR, CA, SAN",,Yes,"Geography: Austria/Germany 36.00%, Iberia 19.00%, Nordics 14.00%, Benelux 12.00%, UK/Ireland 11.00%, France 6.00%, Switzerland 2.00%.
Investor Type: Asset Managers 47.00%, Banks/Private Banks 36.00%, Central Banks/Official Institutions 9.00%, Insurers/Pension Funds 8.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13640539,BARCLAYS,SOCIETE GENERALE,UNICREDIT,CREDIT AGRICOLE,SANTANDER,,,,,,,,
12-Apr-23,BANQUE POSTALE SFH,ZK1660461 CORP,EUR,1000,1.0997,1093.72,3.125,Fixed,19-Feb-29,99.456,MS+26a,MS+22,3.23%,,NR,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,FRANCE,Financial,Banking,"BAR, HSBC, UNICR, LBBW, NAT, LA BAN",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13640536,BARCLAYS,HSBC,UNICREDIT,LBBW,NATIXIS,LA BANQUE POSTALE,,,,,,,
12-Apr-23,BAYERNLB,ZK1439254 CORP,EUR,500,1.0997,549.11,3,Fixed,22-May-29,99.866,MS+7a,MS+4,3.025%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"DB, SG, BAYERN, KBC, HEL",,Yes,"Geography: Germany 75.00%, Benelux 7.00%, Eastern Europe 6.00%, Italy 4.00%, Nordics 4.00%, Austria/Switzerland 2.00%, Others 2.00%.
Investor Type: Banks 56.00%, Central Banks/Official Institutions 25.00%, Asset Managers 15.00%, Insurers/Pension Funds 4.00%.",,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13640535,DEUTSCHE BANK,SOCIETE GENERALE,BAYERNLB,KBC BANK,HELABA,,,,,,,,
12-Apr-23,HYPO NOE GRUPPE BANK,ZK1426301 CORP,EUR,500,1.0997,548.8,3.25,Fixed,19-Apr-28,99.809,MS+30a,MS+26,3.292%,,Aa1,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,AUSTRIA,Financial,Banking,"UNICR, LBBW, NAT, ERST, HEL",,Yes,"Geography: Germany 58.00%, Austria 21.00%, Nordics 10.00%, Italy 7.00%, Switzerland 2.00%, Others 2.00%.
Investor Type: Banks 70.00%, Asset Managers/Fund Managers 13.00%, Central Banks/Official Institutions 11.00%, Insurers/Pension Funds 6.00%.",,No,PC,,No,No,No,No,No,No,No,No,No,No,No,13640534,UNICREDIT,LBBW,NATIXIS,ERSTE BANK,HELABA,,,,,,,,
12-Apr-23,OMA SAVINGS BANK,BM6247613 CORP,EUR,250,1.0997,235.67,0.01,Fixed,25-Nov-27,85.721,MS+42a,MS+36,3.451%,,NR,AAA,NR,IG,No,Yes,Yes,RegS only,,Western Europe,FINLAND,Financial,Banking,"DAN, LBBW, SWBK",,Yes,"Final accounts: 50
Final books: 1000m
Geography: Germany 27.00%, Denmark 19.00%, Benelux 14.00%, Norway 11.00%, Italy 9.00%, UK/Ireland 6.00%, Finland 6.00%, CEE 3.00%, Austria 3.00%, France 1.00%, Switzerland 1.00%.
Investor Type: Asset Managers 36.00%, Banks/Private Banks 29.00%, Central Banks/Official Institutions 27.00%, Insurers/Pension Funds 8.00%.",,No,MC.,,No,No,No,No,No,No,No,No,No,No,No,13640529,DANSKE BANK,LBBW,SWEDBANK,,,,,,,,,,
11-Apr-23,CCDJ,ZK1412772 CORP,EUR,750,1.09172,815.23,3.25,Fixed,18-Apr-28,99.565,MS+40a,MS+37,3.346%,,Aaa,NR,AAA,IG,No,Yes,No,RegS only,,North America,CANADA,Financial,Banking,"ING, LBBW, RBC, DZ, NAT",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13640353,ING,LBBW,RBC,DZ BANK,NATIXIS,,,,,,,,
5-Apr-23,CREDIT AGRICOLE HL SFH,ZK0787240 CORP,EUR,1250,1.09041,1362.28,3.125,Fixed,18-Oct-30,99.946,MS+30a,MS+28,3.135%,,Aaa,AAA,AAA,IG,No,Yes,No,RegS only,,Western Europe,FRANCE,Financial,Banking,"ING, BAYERN, UNICR, CA, SEB AB",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13640105,ING,BAYERNLB,UNICREDIT,CREDIT AGRICOLE,SEB AB,,,,,,,,
5-Apr-23,ERSTE BANK,ZK0563427 CORP,EUR,1000,1.09041,1089.23,3.125,Fixed,14-Oct-27,99.892,MS+24a,MS+20,3.154%,,Aaa,NR,NR,IG,No,Yes,No,RegS only,,Western Europe,AUSTRIA,Financial,Banking,"TD, LBBW, IMI, NAT, ERST, HEL",,Yes,"Geography: DACH 63.00%, Benelux 11.00%, Southern Europe 7.00%, France 6.00%, Nordics 6.00%, UK 4.00%, Asia 2.00%, Others 1.00%.
Investor Type: Banks 56.00%, Central Banks/Official Institutions 19.00%, Asset Managers/Fund Managers 18.00%, Insurers/Pension Funds 7.00%.",,No,,,No,No,No,No,No,No,No,No,No,No,No,13640087,TORONTO DOMINION,LBBW,IMI- INTESA SANPAOLO,NATIXIS,ERSTE BANK,HELABA,,,,,,,
4-Apr-23,BPCE SFH,ZK0251635 CORP,EUR,2000,1.09583,2188.48,3.25,Fixed,12-Apr-28,99.855,MS+27a,MS+23,3.282%,,Aaa,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,FRANCE,Financial,Banking,"JPM, DEKA, NOR, NAT, ERST, SAN, HEL",,Yes,,,No,MC,,No,No,No,No,No,No,No,No,No,No,No,13622244,JP MORGAN,DEKA,NORDEA,NATIXIS,ERSTE BANK,SANTANDER,HELABA,,,,,,
4-Apr-23,DZ HYP,ZK0284560 CORP,EUR,500,1.09583,545.39,3,Fixed,29-Oct-27,99.539,MS+8a,MS+3,3.113%,,Aaa,AAA,NR,IG,No,Yes,No,RegS only,,Western Europe,GERMANY,Financial,Banking,"ABN, BAYERN, CMZB, DZ, NAT, SCOTIA",,Yes,,,No,PC,,No,No,No,No,No,No,No,No,No,No,No,13622243,ABN AMRO,BAYERNLB,COMMERZBANK,DZ BANK,NATIXIS,SCOTIABANK,,,,,,,
